Country Name,Country Code,Series Name,Year,Value
"Congo, Dem. Rep.",COD,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,5.52034
"Congo, Rep.",COG,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,3.02925
Costa Rica,CRI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,4.5435
Cote d'Ivoire,CIV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,4.25585
Croatia,HRV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,9.4624
Cuba,CUB,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,5.75006
Cyprus,CYP,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,9.88054
Czechia,CZE,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,13.9892
Denmark,DNK,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,11.32966
Djibouti,DJI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,0.67377
Dominica,DMA,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,7.9088
Dominican Republic,DOM,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,6.96088
Ecuador,ECU,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,3.76136
"Egypt, Arab Rep.",EGY,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,0.15779
El Salvador,SLV,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,3.09464
Equatorial Guinea,GNQ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,9.11411
Eritrea,ERI,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,1.24925
Estonia,EST,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,15.25045
Eswatini,SWZ,"Total alcohol consumption per capita (liters of pure alcohol, projected estimates, 15+ years of age)",2005,8.09138
